game_id,game,kickoff_ct,player,team,position,market,market_type,line,side,price_over,price_under,book,source_url,source_page_timestamp,fetched_at_ct,note
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jared Goff,DET,QB,Passing Yards,standard,257.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/jared-goff/2133,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jared Goff,DET,QB,Rushing Yards,standard,0.5,Over,+152,,FanDuel,https://www.sportsgrid.com/nfl/players/jared-goff/2133,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jared Goff,DET,QB,Passing Attempts,standard,36.5,Over,-102,,FanDuel,https://www.sportsgrid.com/nfl/players/jared-goff/2133,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jahmyr Gibbs,DET,RB,Longest Reception,standard,12.5,Over,-128,,FanDuel,https://www.sportsgrid.com/nfl/players/jahmyr-gibbs/2151,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; no rushing-yards market among displayed markets
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jahmyr Gibbs,DET,RB,Receptions,standard,4.5,Over,+112,,FanDuel,https://www.sportsgrid.com/nfl/players/jahmyr-gibbs/2151,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jahmyr Gibbs,DET,RB,Receiving Yards,standard,30.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/jahmyr-gibbs/2151,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jameson Williams,DET,WR,Receptions,standard,3.5,Over,-148,,FanDuel,https://www.sportsgrid.com/nfl/players/jameson-williams/2117,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; line moved (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jameson Williams,DET,WR,Longest Reception,standard,24.5,Over,-108,,FanDuel,https://www.sportsgrid.com/nfl/players/jameson-williams/2117,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; line moved (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Jameson Williams,DET,WR,Receiving Yards,standard,57.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/jameson-williams/2117,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; line moved (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Sam LaPorta,DET,TE,Longest Reception,standard,18.5,Over,-112,,FanDuel,https://www.sportsgrid.com/nfl/players/sam-laporta/2110,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Sam LaPorta,DET,TE,Receiving Yards,standard,46.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/sam-laporta/2110,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Sam LaPorta,DET,TE,Receptions,standard,4.5,Over,+102,,FanDuel,https://www.sportsgrid.com/nfl/players/sam-laporta/2110,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Josh Allen,BUF,QB,Passing Touchdowns,standard,1.5,Under,,+136,FanDuel,https://www.sportsgrid.com/nfl/players/josh-allen/1656,not displayed on page,2026-09-17 14:00 CDT,Over juice not shown; price moved +134 to +136 intraday (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Josh Allen,BUF,QB,Rushing Yards,standard,31.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/josh-allen/1656,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Josh Allen,BUF,QB,Passing Attempts,standard,31.5,Over,-114,,FanDuel,https://www.sportsgrid.com/nfl/players/josh-allen/1656,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; no passing-yards market among displayed markets
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,James Cook,BUF,RB,Longest Reception,standard,10.5,Over,-114,,FanDuel,https://www.sportsgrid.com/nfl/players/james-cook/1685,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; price moved -112 to -114 intraday (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,James Cook,BUF,RB,Rushing Yards,standard,78.5,Under,,-113,FanDuel,https://www.sportsgrid.com/nfl/players/james-cook/1685,not displayed on page,2026-09-17 14:00 CDT,Over juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,James Cook,BUF,RB,Receiving Yards,standard,17.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/james-cook/1685,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Khalil Shakir,BUF,WR,Receptions,standard,4.5,Over,+112,,FanDuel,https://www.sportsgrid.com/nfl/players/khalil-shakir/1646,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; price moved +102 to +112 intraday (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Khalil Shakir,BUF,WR,Longest Reception,standard,17.5,Over,-125,,FanDuel,https://www.sportsgrid.com/nfl/players/khalil-shakir/1646,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; price moved -122 to -125 intraday (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Khalil Shakir,BUF,WR,Receiving Yards,standard,44.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/khalil-shakir/1646,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,DJ Moore,BUF,WR,Longest Reception,standard,23.5,Over,-118,,FanDuel,https://www.sportsgrid.com/nfl/players/dj-moore/1752,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown; DJ Moore plays for BUF in 2026 (traded from CHI)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,DJ Moore,BUF,WR,Receiving Yards,standard,63.5,Under,,-113,FanDuel,https://www.sportsgrid.com/nfl/players/dj-moore/1752,not displayed on page,2026-09-17 14:00 CDT,Over juice not shown; line moved 62.5 to 63.5 intraday (see notes)
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,DJ Moore,BUF,WR,Receptions,standard,4.5,Under,,-118,FanDuel,https://www.sportsgrid.com/nfl/players/dj-moore/1752,not displayed on page,2026-09-17 14:00 CDT,Over juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Dawson Knox,BUF,TE,Receptions,standard,1.5,Over,+124,,FanDuel,https://www.sportsgrid.com/nfl/players/dawson-knox/1665,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Dawson Knox,BUF,TE,Longest Reception,standard,9.5,Over,-118,,FanDuel,https://www.sportsgrid.com/nfl/players/dawson-knox/1665,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
BUF_DET_20260917,NFL Week 2: Detroit Lions at Buffalo Bills,2026-09-17 19:15 CDT,Dawson Knox,BUF,TE,Receiving Yards,standard,12.5,Over,-113,,FanDuel,https://www.sportsgrid.com/nfl/players/dawson-knox/1665,not displayed on page,2026-09-17 14:00 CDT,Under juice not shown
